GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
logica-fechas-2,es.ies.puerto,Ejercicio2,3,53,0,6,1,10,1,4,1,1
logica-fechas-2,es.ies.puerto,Ejercicio3,3,31,0,2,1,7,1,2,1,1
logica-fechas-2,es.ies.puerto,Ejercicio1,5,17,2,4,2,4,3,2,1,1
logica-fechas-2,es.ies.puerto,Ejercicio6,9,40,4,12,3,11,5,5,1,1
logica-fechas-2,es.ies.puerto,Ejercicio4,3,45,0,6,1,8,1,4,1,1
logica-fechas-2,es.ies.puerto,Ejercicio5,8,11,1,1,2,4,2,1,1,1
